laplacian_variance,noise_stddev,edge_density,high_low_freq_ratio,saturation_entropy,width,height,aspect_ratio,c2pa_has_manifest,c2pa_manifest_count,c2pa_claim_generator_is_ai,c2pa_error_flag,label
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524.2917124326858,8.292291385874845,0.049290974934895836,224.15919042314988,3.5280706882476807,512.0,768.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0
301.7778356336058,6.200063624433215,0.07396189371744792,358.2565335197249,3.8890089988708496,512.0,768.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
193.88824431587838,5.685604090201769,0.0366058349609375,433.6278745174957,2.2475180625915527,768.0,512.0,1.5,0.0,0.0,0.0,0.0,1.0
164.50984384455174,4.59022818071154,0.018511454264322918,273.2659739892146,1.8995461463928223,768.0,512.0,1.5,0.0,0.0,0.0,0.0,0.0
3050.9405906863135,18.89002635859141,0.1333643595377604,302.84948674449225,3.470614433288574,512.0,768.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0
811.9727335149978,8.16673922579026,0.08823649088541667,219.47815288441365,3.3034744262695312,512.0,768.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
156.26638898625322,4.350067655993924,0.025141398111979168,326.07968501043405,3.4239325523376465,768.0,512.0,1.5,0.0,0.0,0.0,0.0,1.0
88.07807159138612,3.418620773816031,0.01470947265625,339.0981343422268,2.075873851776123,768.0,512.0,1.5,0.0,0.0,0.0,0.0,0.0
169.71031323905723,5.704801450349651,0.028751874210858584,510.1560711870842,3.555180311203003,768.0,528.0,1.4545454545454546,0.0,0.0,0.0,0.0,1.0
119.48528449644958,4.396705147232579,0.02581232244318182,405.0498415921623,3.9351418018341064,768.0,528.0,1.4545454545454546,0.0,0.0,0.0,0.0,0.0
911.5114227371652,10.365627986102712,0.055562337239583336,199.50274874572878,3.9093098640441895,768.0,512.0,1.5,0.0,0.0,0.0,0.0,1.0
157.7714792750517,4.7060278000017,0.022799173990885418,321.61216730038024,3.3770246505737305,768.0,512.0,1.5,0.0,0.0,0.0,0.0,0.0
969.7564939044719,11.824286943216778,0.08444242931547619,275.7336543089381,2.900438070297241,560.0,768.0,0.7291666666666666,0.0,0.0,0.0,0.0,1.0
2152.8782553257533,13.250454302776866,0.11124674479166667,139.05872974255206,2.632594585418701,560.0,768.0,0.7291666666666666,0.0,0.0,0.0,0.0,0.0
2494.506191595399,15.28991091758283,0.17252604166666666,208.5915626383697,3.6073360443115234,768.0,512.0,1.5,0.0,0.0,0.0,0.0,1.0
4304.155282671246,13.426835884589027,0.28308359781901044,119.64455482462431,3.923919200897217,768.0,512.0,1.5,0.0,0.0,0.0,0.0,0.0
1652.284643776553,14.799643473814465,0.10926564534505208,264.2921913985251,3.487440586090088,768.0,512.0,1.5,0.0,0.0,0.0,0.0,1.0
1563.3356453198678,11.361621213530455,0.09692637125651042,158.7840328798163,3.1455836296081543,768.0,512.0,1.5,0.0,0.0,0.0,0.0,0.0
1108.2124125850532,10.848327111175543,0.0981944094422043,244.07877926574463,3.3964381217956543,768.0,496.0,1.5483870967741935,0.0,0.0,0.0,0.0,1.0
916.8419299108511,8.960711871464103,0.09443516885080645,213.58872956775852,3.704399824142456,768.0,496.0,1.5483870967741935,0.0,0.0,0.0,0.0,0.0
1626.980675762493,12.742602452106098,0.11427815755208333,200.33233870326478,3.6226305961608887,768.0,512.0,1.5,0.0,0.0,0.0,0.0,1.0
1988.3510257594949,11.02367748210133,0.17225138346354166,139.24821486279714,3.982952117919922,768.0,512.0,1.5,0.0,0.0,0.0,0.0,0.0
1952.1293517896863,14.31881476999004,0.1056396484375,158.01744935681828,3.6940903663635254,640.0,768.0,0.8333333333333334,0.0,0.0,0.0,0.0,1.0
1269.9248593901552,10.642655801956122,0.103155517578125,145.48136215861015,3.757232904434204,640.0,768.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
701.465530389687,9.511240000754315,0.07879892985026042,287.03609664728754,3.3348333835601807,768.0,512.0,1.5,0.0,0.0,0.0,0.0,1.0
425.6470844893613,7.20034784069787,0.06491597493489583,275.94060003727816,2.829571485519409,768.0,512.0,1.5,0.0,0.0,0.0,0.0,0.0
99.35619720614179,4.691149013649462,0.04522705078125,723.7251167040336,3.504635810852051,768.0,512.0,1.5,0.0,0.0,0.0,0.0,1.0
155.82785972205198,5.015351773711492,0.037353515625,543.4291987958221,3.2181501388549805,768.0,512.0,1.5,0.0,0.0,0.0,0.0,0.0
1848.5779299292024,14.869839854288124,0.102691650390625,192.6845627289473,3.107699155807495,768.0,512.0,1.5,0.0,0.0,0.0,0.0,1.0
1948.2610229203065,12.395778290006925,0.2954305013020833,359.80863312629,1.9303395748138428,768.0,512.0,1.5,0.0,0.0,0.0,0.0,0.0
2775.645036216456,16.916044708871166,0.11279296875,173.64189028926307,4.069151878356934,768.0,512.0,1.5,0.0,0.0,0.0,0.0,1.0
1297.3943506814471,9.2075005687622,0.061670939127604164,107.60882765481007,3.5238776206970215,768.0,512.0,1.5,0.0,0.0,0.0,0.0,0.0
588.1818740950843,8.341899417154892,0.059284169186827954,232.13004341861185,3.848398208618164,768.0,496.0,1.5483870967741935,0.0,0.0,0.0,0.0,1.0
157.91106425421626,4.796756591230081,0.0424358408938172,407.3694396561134,3.259431838989258,768.0,496.0,1.5483870967741935,0.0,0.0,0.0,0.0,0.0
2145.6710844805425,16.333841354537277,0.12059887035472973,123.15849477425512,3.5646274089813232,768.0,592.0,1.2972972972972974,0.0,0.0,0.0,0.0,1.0
227.22691441006054,5.493078377371923,0.01952685106981982,206.83090712560855,3.683927059173584,768.0,592.0,1.2972972972972974,0.0,0.0,0.0,0.0,0.0
545.3760437285528,8.400746576452246,0.03984832763671875,230.12609205831913,3.266617774963379,768.0,512.0,1.5,0.0,0.0,0.0,0.0,1.0
